const_no,constituency,rank,candidate,party,evm_votes,postal_votes,total_votes,vote_pct,ballot_sn
28,ALANDUR,1,M.HARISH,Tamilaga Vettri Kazhagam,111572,633,112205,42.9,10
28,ALANDUR,2,T.M.ANBARASAN,Dravida Munnetra Kazhagam,81642,954,82596,31.58,1
28,ALANDUR,3,S.SARAVANAN,All India Anna Dravida Munnetra Kazhagam,51652,591,52243,19.97,2
28,ALANDUR,4,Y.G.MAHALAKSHMI,Naam Tamilar Katchi,10346,59,10405,3.98,3
28,ALANDUR,5,NOTA,None of the Above,1252,11,1263,0.48,24
28,ALANDUR,6,M.HARISH,Independent,845,8,853,0.33,23
28,ALANDUR,7,N.HARI KRISHNAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,315,2,317,0.12,9
28,ALANDUR,8,J.AGNI SELVARASU,Naadaalum Makkal Katchi,230,3,233,0.09,4
28,ALANDUR,9,SENKODI VIJAYALAKSHMI,Independent,231,2,233,0.09,17
28,ALANDUR,10,R.SURESH,Independent,166,2,168,0.06,16
28,ALANDUR,11,R.SARAVANAN,Independent,148,2,150,0.06,15
28,ALANDUR,12,V.ANBARASAN,Independent,119,1,120,0.05,11
28,ALANDUR,13,MAHESH KUMAR,Independent,103,2,105,0.04,20
28,ALANDUR,14,A.VELUSAMY,Puthiya Tamilagam,92,1,93,0.04,8
28,ALANDUR,15,S.ROYAPPAN,Tamizhaga Vaazhvurimai Katchi,89,0,89,0.03,7
28,ALANDUR,16,A.SARAVANAN,Independent,77,1,78,0.03,12
28,ALANDUR,17,ARAVIND CHANDRASEKAR,Indhu Dravida Makkal Katchi,76,1,77,0.03,5
28,ALANDUR,18,S.SARAVANAN,Independent,64,12,76,0.03,13
28,ALANDUR,19,R.SELVAKUMAR,Independent,69,0,69,0.03,18
28,ALANDUR,20,B. KALYANARAMKUMAR,Naam Indiar Party,59,1,60,0.02,6
28,ALANDUR,21,K.VELAYUDHAM,Independent,50,1,51,0.02,22
28,ALANDUR,22,D.SARAVANAN,Independent,38,12,50,0.02,14
28,ALANDUR,23,G.DANIEL ANTONYRAJ,Independent,19,0,19,0.01,19
28,ALANDUR,24,G.RAMANAN,Independent,17,0,17,0.01,21
182,ALANGUDI,1,SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,64162,767,64929,35.98,1
182,ALANGUDI,2,KANDASAMY,Tamilaga Vettri Kazhagam,51577,375,51952,28.78,4
182,ALANGUDI,3,DHANA VIMAL,All India Anna Dravida Munnetra Kazhagam,49794,269,50063,27.74,3
182,ALANGUDI,4,R.RAJARAM,Naam Tamilar Katchi,10531,121,10652,5.9,2
182,ALANGUDI,5,NOTA,None of the Above,664,9,673,0.37,15
182,ALANGUDI,6,D.PUSHPARAJ,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,603,15,618,0.34,6
182,ALANGUDI,7,R.SURESH,Party for the Rights of Other backward Classes,530,0,530,0.29,5
182,ALANGUDI,8,S MALAIYANDI,Akila Inthiya Makkal Marumalarchi Kazhakam,183,1,184,0.1,7
182,ALANGUDI,9,K.MURUGESAN,Independent,174,0,174,0.1,13
182,ALANGUDI,10,SASIKUMAR.P,Independent,155,3,158,0.09,9
182,ALANGUDI,11,B.SELVAM,Independent,131,5,136,0.08,10
182,ALANGUDI,12,S.VANMEGANADHAN,Independent,131,1,132,0.07,14
182,ALANGUDI,13,M.NAGARAJAN,Independent,123,2,125,0.07,12
182,ALANGUDI,14,T.THIRUMARAN,Independent,90,1,91,0.05,11
182,ALANGUDI,15,V.KANNADASSAN,Independent,66,0,66,0.04,8
223,ALANGULAM,1,PAUL MANOJ PANDIAN,Dravida Munnetra Kazhagam,67974,1196,69170,31.32,1
223,ALANGULAM,2,K R P PRABAKARAN,All India Anna Dravida Munnetra Kazhagam,60584,788,61372,27.79,3
223,ALANGULAM,3,VIBIN CHAKKARAVARTHY,Tamilaga Vettri Kazhagam,60046,638,60684,27.48,7
223,ALANGULAM,4,R PAULRAJ,Naam Tamilar Katchi,23017,363,23380,10.59,2
223,ALANGULAM,5,MADASAMY,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,2113,45,2158,0.98,6
223,ALANGULAM,6,A UDHAYAKUMAR,Puthiya Tamilagam,1590,30,1620,0.73,4
223,ALANGULAM,7,NOTA,None of the Above,961,21,982,0.44,14
223,ALANGULAM,8,JEYANTHI,Independent,426,6,432,0.2,12
223,ALANGULAM,9,R KOTHERIMOHIDEEN,Independent,195,4,199,0.09,10
223,ALANGULAM,10,W JAYSON,Independent,196,0,196,0.09,13
223,ALANGULAM,11,U ARAVIND,Independent,183,6,189,0.09,8
223,ALANGULAM,12,A SUBASH  CHANDRA BOSE,Thakkam Katchi,180,2,182,0.08,5
223,ALANGULAM,13,T  MARIKUMAR,Independent,151,10,161,0.07,11
223,ALANGULAM,14,K ARUNKUMAR,Independent,111,21,132,0.06,9
225,AMBASAMUDRAM,1,DR.ESAKKI SUBAYA,All India Anna Dravida Munnetra Kazhagam,64632,957,65589,34.3,1
225,AMBASAMUDRAM,2,V.P.DURAI,Indian National Congress,54622,722,55344,28.95,4
225,AMBASAMUDRAM,3,S.RAJAGOPAL,Tamilaga Vettri Kazhagam,53087,524,53611,28.04,5
225,AMBASAMUDRAM,4,DR.V.SIVASANKARAN,Naam Tamilar Katchi,14669,237,14906,7.8,3
225,AMBASAMUDRAM,5,NOTA,None of the Above,1046,14,1060,0.55,6
225,AMBASAMUDRAM,6,R.ESAIKANNAN,Bahujan Samaj Party,675,10,685,0.36,2
8,AMBATTUR,1,BALAMURUGAN.G,Tamilaga Vettri Kazhagam,132995,344,133339,51.29,6
8,AMBATTUR,2,DR A.P. POORNIMA,Dravida Munnetra Kazhagam,74156,402,74558,28.68,3
8,AMBATTUR,3,K.N. SEKAR,Pattali Makkal Katchi,35826,171,35997,13.85,5
8,AMBATTUR,4,SILAMBARASAN,Naam Tamilar Katchi,11049,39,11088,4.26,1
8,AMBATTUR,5,NOTA,None of the Above,1474,16,1490,0.57,24
8,AMBATTUR,6,A.KALYANASUNDARAM,Nationalist Janshakti Party,584,4,588,0.23,4
8,AMBATTUR,7,R.BALAMURUGAN,Independent,493,0,493,0.19,16
8,AMBATTUR,8,DR. J.SAILAS,Bahujan Samaj Party,441,2,443,0.17,2
8,AMBATTUR,9,DR. S.PRAVEEN,Independent,305,3,308,0.12,17
8,AMBATTUR,10,V. RAMKUMAR,India Suyarajya Party,224,0,224,0.09,7
8,AMBATTUR,11,S. MADHAVAN,Independent,179,0,179,0.07,19
8,AMBATTUR,12,M.S. ARUMUGAM,Independent,135,0,135,0.05,10
8,AMBATTUR,13,RAJKUMAR,Tamizhaga Vaazhvurimai Katchi,125,2,127,0.05,8
8,AMBATTUR,14,K. SEKAR,Independent,125,2,127,0.05,13
8,AMBATTUR,15,S. JANARTHANAN,Independent,125,1,126,0.05,22
8,AMBATTUR,16,G.P. SEKAR,Independent,102,1,103,0.04,14
8,AMBATTUR,17,PALANI,Independent,99,4,103,0.04,15
8,AMBATTUR,18,D.K.MESHACK KIRUBAKARAN,Independent,102,0,102,0.04,20
8,AMBATTUR,19,JOTHI.M,Independent,89,0,89,0.03,23
8,AMBATTUR,20,VINAYAGAMOORTHY.R,Independent,82,1,83,0.03,21
8,AMBATTUR,21,P. ARUMUGAM,Independent,77,0,77,0.03,11
8,AMBATTUR,22,G. SAMPATH,Independent,71,1,72,0.03,12
