const_no,constituency,margin,swing_to_flip,swing_pct,total_votes,winner,winner_party,winner_votes,winner_pct,runner_up,runner_party,runner_votes,runner_pct
185,TIRUPPATTUR,30,15,0.01,215316,PERIAKARUPPAN. KR,Dravida Munnetra Kazhagam,83226,38.65,SEENIVASA SETHUPATHY. R,Tamilaga Vettri Kazhagam,83196,38.64
54,VEPPANAHALLI,138,69,0.03,222608,SRINIVASAN.P.S,Dravida Munnetra Kazhagam,74691,33.55,MUNUSAMY.K.P,All India Anna Dravida Munnetra Kazhagam,74553,33.49
229,KANNIYAKUMARI,214,107,0.04,239150,THALAVAI SUNDARAM. N,All India Anna Dravida Munnetra Kazhagam,75045,31.38,MAHESH.R,Dravida Munnetra Kazhagam,74831,31.29
66,POLUR,227,114,0.05,211743,ABISHEK. R,Tamilaga Vettri Kazhagam,67961,32.1,SARAVANAN. P,Desiya Murpokku Dravida Kazhagam,67734,31.99
76,TIRUKKOYILUR,285,143,0.07,217318,PALANISAMY S,All India Anna Dravida Munnetra Kazhagam,73033,33.61,VIJAY R BARANIBALAAJI,Tamilaga Vettri Kazhagam,72748,33.48
95,PARAMATHI-VELUR,308,154,0.08,188845,SEKAR S,All India Anna Dravida Munnetra Kazhagam,61349,32.49,MOORTHIY K S,Dravida Munnetra Kazhagam,61041,32.32
137,KULITHALAI,579,290,0.14,209091,SURIYANUR. A. CHANDRAN,Dravida Munnetra Kazhagam,68138,32.59,G.BALASUBRAMANI,Tamilaga Vettri Kazhagam,67559,32.31
171,KUMBAKONAM,679,340,0.16,208288,VINOTH,Tamilaga Vettri Kazhagam,78650,37.76,ANBALAGAN G,Dravida Munnetra Kazhagam,77971,37.43
127,PALANI,693,347,0.17,208619,RAVIMANOHARAN. K,All India Anna Dravida Munnetra Kazhagam,66986,32.11,DR. PRAVEEN KUMAR. M,Tamilaga Vettri Kazhagam,66293,31.78
72,TINDIVANAM,734,367,0.19,196026,VANNI ARASU,Viduthalai Chiruthaigal Katchi,63833,32.56,ARJUNAN. P,All India Anna Dravida Munnetra Kazhagam,63099,32.19
201,CUMBUM,751,376,0.18,210574,JEGANATHMISHRA PLA,Tamilaga Vettri Kazhagam,85394,40.55,ERAMAKRISHNAN N,Dravida Munnetra Kazhagam,84643,40.2
80,KALLAKURICHI,798,399,0.16,249626,ARUL VIGNESH C,Tamilaga Vettri Kazhagam,81132,32.5,RAJEEVGANDHI S,All India Anna Dravida Munnetra Kazhagam,80334,32.18
218,KOVILPATTI,843,422,0.22,194232,KARUNANITHI.K,Dravida Munnetra Kazhagam,61643,31.74,BALASUBRAMANIAN.S,Tamilaga Vettri Kazhagam,60800,31.3
75,VIKRAVANDI,910,455,0.22,209231,SIVAKUMAR C,Pattali Makkal Katchi,69727,33.33,VIJAI VADIVEL A,Tamilaga Vettri Kazhagam,68817,32.89
108,UDHAGAMANDALAM,976,488,0.33,148704,BHOJARAJAN.M,Bharatiya Janata Party,48488,32.61,IBRAHIM.R,Tamilaga Vettri Kazhagam,47512,31.95
172,PAPANASAM,1065,533,0.26,207723,A.M. SHAHJAHAN,Indian Union Muslim League,69284,33.35,AZARUDEEN UDUMAN ALI,Tamilaga Vettri Kazhagam,68219,32.84
132,DINDIGUL,1131,566,0.27,212024,SENTHILKUMAR. I.P,Dravida Munnetra Kazhagam,74489,35.13,NAZEER RAJA. G,Tamilaga Vettri Kazhagam,73358,34.6
216,SRIVAIKUNTAM,1186,593,0.34,176421,SARAVANAN. G,Tamilaga Vettri Kazhagam,58814,33.34,SHANMUGANATHAN. S. P,All India Anna Dravida Munnetra Kazhagam,57628,32.67
187,MANAMADURAI,1208,604,0.29,208643,ELANGOVAN.D,Tamilaga Vettri Kazhagam,69971,33.54,TAMILARASI.A,Dravida Munnetra Kazhagam,68763,32.96
