const_no,constituency,total_votes,margin,swing_to_flip,swing_pct,p1_candidate,p1_party,p1_votes,p1_pct,p2_candidate,p2_party,p2_votes,p2_pct,p3_candidate,p3_party,p3_votes,p3_pct,p4_candidate,p4_party,p4_votes,p4_pct
1,GUMMIDIPOONDI,232522,27945,13973,6.01,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,94320,40.56,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,66375,28.55,T.J.GOVINDARAJAN,Dravida Munnetra Kazhagam,62492,26.88,"R.SRIDAR. B.L.,",Naam Tamilar Katchi,4756,2.05
2,PONNERI,226819,55768,27884,12.29,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,110439,48.69,DURAI CHANDRASEKAR,Indian National Congress,54671,24.1,BALARAMAN.P,All India Anna Dravida Munnetra Kazhagam,51468,22.69,RAJATHI.M,Naam Tamilar Katchi,6676,2.94
3,TIRUTTANI,238798,5793,2897,1.21,G.HARI,All India Anna Dravida Munnetra Kazhagam,89169,37.34,M.SATHYA KUMAR,Tamilaga Vettri Kazhagam,83376,34.91,D.KRISHNAMURTHY,Desiya Murpokku Dravida Kazhagam,54863,22.97,CHANDRAN .S.S,Naam Tamilar Katchi,6704,2.81
4,THIRUVALLUR,226428,24760,12380,5.47,DR. T. ARUNKUMAR,Tamilaga Vettri Kazhagam,92190,40.71,V.G. RAAJENDRAN,Dravida Munnetra Kazhagam,67430,29.78,BE  VEE RAMANAH,All India Anna Dravida Munnetra Kazhagam,56562,24.98,K. SENTHILKUMAR,Naam Tamilar Katchi,5513,2.43
5,POONAMALLEE,308894,72740,36370,11.77,PRAKASAM.R,Tamilaga Vettri Kazhagam,161309,52.22,KRISHNASWAMY.A,Dravida Munnetra Kazhagam,88569,28.67,ELUMALAI.T.A,Amma Makkal Munnettra Kazagam,43280,14.01,MEKALA.J,Naam Tamilar Katchi,11697,3.79
6,AVADI,346005,76311,38156,11.03,R.RAMESH KUMAR,Tamilaga Vettri Kazhagam,180384,52.13,S.M.NASAR,Dravida Munnetra Kazhagam,104073,30.08,RAJASIMHA MAHENDRA,Bharatiya Janata Party,39605,11.45,PUNITHA SHANMUGAM,Naam Tamilar Katchi,16335,4.72
7,MADURAVOYAL,293692,61509,30755,10.47,RHEVANTH CHARAN,Tamilaga Vettri Kazhagam,141725,48.26,GANAPATHY. K,Dravida Munnetra Kazhagam,80216,27.31,P. BENJAMIN,All India Anna Dravida Munnetra Kazhagam,54705,18.63,REVATHI L,Naam Tamilar Katchi,13024,4.43
8,AMBATTUR,259986,58781,29391,11.3,BALAMURUGAN.G,Tamilaga Vettri Kazhagam,133339,51.29,DR A.P. POORNIMA,Dravida Munnetra Kazhagam,74558,28.68,K.N. SEKAR,Pattali Makkal Katchi,35997,13.85,SILAMBARASAN,Naam Tamilar Katchi,11088,4.26
9,MADAVARAM,361998,94985,47493,13.12,M.L.VIJAYPRABHU,Tamilaga Vettri Kazhagam,190462,52.61,S.SUDHARSANAM,Dravida Munnetra Kazhagam,95477,26.38,MADHAVARAM V.MOORTHY,All India Anna Dravida Munnetra Kazhagam,59290,16.38,E.KRITHIKA,Naam Tamilar Katchi,12637,3.49
10,THIRUVOTTIYUR,207088,53564,26782,12.93,SENTHIL KUMAR. N,Tamilaga Vettri Kazhagam,110067,53.15,SUNDARARAJ. L,Communist Party of India (Marxist),56503,27.28,KUPPAN. K,All India Anna Dravida Munnetra Kazhagam,28320,13.68,SATHYA. B,Naam Tamilar Katchi,8413,4.06
